Genus,Use,Form,CropSize,FruitFrequency,StemDensity,Productivity,Synchronicity,DBH,Rainfall
Adenanthera,0,Tree,II,0.015625,0.095238095,0.057365636,806.2257748,66,21.73
Adinandra,0,Tree,III,0.268456376,0.571428571,0.043773892,83.46587766,28.22483221,11.107375
Agathis,1,Tree,I,0.126984127,0.095238095,0.052744218,269.0042402,115,10.02
Agelaea,1,Vine,I,0.03475872,15.71428571,0.040592687,109.5774297,4.724810002,13.30058419
Aglaia,4,Tree,III,0.042253521,3.238095238,0.049162951,121.0939273,24.93815064,11.36246377
Alangium,1,Tree,IV,0.046616541,2.476190476,0.070979937,315.8406251,23.71804511,16.35709677
Alseodaphne,0,Tree,III,0.052208835,0.761904762,0.040866518,201.5564437,18.37550201,11.96153846
Ampelocissus,0,Vine,IV,0.00867052,1.523809524,0.068465186,316.0218215,4.823699422,9.836666667
Ancistrocladus,0,Vine,II,0.004662005,1.428571429,0.050425605,487.2395137,4.087412587,16.5075
Anthocephalus,0,Tree,III,0.196428571,NA,0.035770324,139.8132691,36.6875,10.24787879
Aporusa,0,Tree,III,0.014094955,2.571428571,0.071405462,247.3106736,18.70845697,14.35052632
Archidendron,0,Tree,III,0.038277512,0.952380952,0.047573839,148.1036084,34.88676236,11.51041667
Artabotrys,10,Vine,I,0.040025413,5.333333333,0.046669018,65.68329439,5.949809403,11.69777778
Artocarpus,3,Tree,I,0.006047279,2.952380952,0.065162304,287.3899358,26.33369984,9.708181818
Atuna,0,Tree,III,0.064171123,0.571428571,0.056482736,NA,40.58823529,12.39166667
Austrobuxus,0,Tree,IV,0.063492063,0.095238095,0.048003092,393.5515373,47,10.02
Baccaurea,1,Tree,III,0.060047406,7.523809524,0.052164559,82.98254742,21.49302081,11.79570175
Barringtonia,0,Tree,I,0.057823129,1.523809524,0.062300815,183.7189245,23,11.77470588
Bauhinia,0,Vine,I,0.033527697,1.428571429,0.050912918,196.2475844,7.424242424,13.9826087
Beilschmiedia,0,Tree,III,0.018939394,2.095238095,0.046206059,198.7146195,28.97954545,10.922
Bhesa,1,Tree,III,0.031578947,0.285714286,0.038323754,316.0218215,34.32105263,13.08166667
Blumeodendron,2,Tree,II,0.022931206,1.523809524,0.043631566,236.6097383,29.7557328,14.62782609
